      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     126       4       7    1993       49.5000000       21.9218990
     127       5       7    1993       43.8000000       21.4003477
     128       6       7    1993       43.0000000       31.2249372
     129       7       7    1993       44.7000000       34.8485406
     130       8       7    1993       41.3000000       24.6901785
     131       9       7    1993       38.3000000       22.5535063
     132      10       7    1993       39.1000000       22.2261146
     133      11       7    1993       37.6000000       36.8625121
     134      12       7    1993       38.3000000       52.3381356
     135      13       7    1993       66.3000000       30.7296147
     136      14       7    1993       53.7000000       24.5515109
     137      15       7    1993       44.7000000       23.5848424
     138      16       7    1993       43.0000000       22.8618762
     139      17       7    1993       37.6000000       22.1926712
     140      18       7    1993       37.0000000       23.2215222
     141      19       7    1993       37.0000000       29.9339605
     142      20       7    1993       39.8000000       28.7072962
     143      21       7    1993       46.6000000       29.0619898
     144      22       7    1993       48.5000000       23.9588755
     145      23       7    1993       45.6000000       21.8093895
     146      24       7    1993       45.6000000       21.1154530
     147      25       7    1993       42.2000000       20.5479648
     148      26       7    1993       43.8000000       41.9572423
     149      27       7    1993       73.8000000       56.5269872
     150      28       7    1993       57.7000000       30.9593811
     151      29       7    1993       53.7000000       25.6389710
     152      30       7    1993       49.5000000       24.5329756
     153      31       7    1993       43.8000000       23.6385750
     154       1       8    1993       40.6000000       22.8223166
     155       2       8    1993       37.6000000       22.0672313
     156       3       8    1993       39.1000000       21.3634763
     157       4       8    1993       37.6000000       20.7107467
     158       5       8    1993       36.3000000       20.1048672
     159       6       8    1993       39.1000000       21.7032174
     160       7       8    1993       41.3000000       20.5403665
     161       8       8    1993       39.1000000       19.1271062
     162       9       8    1993       39.8000000       26.5368531
     163      10       8    1993       43.0000000       25.2717009
     164      11       8    1993       37.0000000       19.0508261
     165      12       8    1993       37.0000000       18.1481840
     166      13       8    1993       36.3000000       17.6939595
     167      14       8    1993       37.6000000       17.2764269
     168      15       8    1993       34.5000000       16.8842301
     169      16       8    1993       35.1000000       16.5150950
     170      17       8    1993       35.1000000       16.7537138
     171      18       8    1993       35.7000000       17.8984146
     172      19       8    1993       35.1000000       16.5757763
     173      20       8    1993       35.1000000       15.6628250
     174      21       8    1993       33.3000000       15.2143806
     175      22       8    1993       32.8000000       14.9226368
     176      23       8    1993       34.5000000       14.6521797
     177      24       8    1993       33.9000000       16.8102590
     178      25       8    1993       37.6000000       46.9233097
     179      26       8    1993       53.7000000       63.7874802
     180      27       8    1993       81.6000000       45.2634834
     181      28       8    1993       76.4000000       49.8120049
     182      29       8    1993       77.7000000       38.6164933
     183      30       8    1993       68.8000000       30.8085757
     184      31       8    1993       56.5000000       28.9901684
     185       1       9    1993       52.6000000       27.8658003
     186       2       9    1993       48.5000000       26.5436999
     187       3       9    1993       43.8000000       34.4538013
     188       4       9    1993       76.4000000       56.7487805
     189       5       9    1993      131.0000000       62.4266933
     190       6       9    1993      124.0000000       51.7729699
     191       7       9    1993       96.2000000       45.8570058
     192       8       9    1993       75.1000000       42.7107994
     193       9       9    1993       62.6000000       53.1847564
     194      10       9    1993       88.2000000       83.5195343
     195      11       9    1993      177.0000000      103.2396928
     196      12       9    1993      186.0000000       84.5279672
     197      13       9    1993      140.0000000       77.1481983
     198      14       9    1993      133.0000000       90.0365213
     199      15       9    1993      206.0000000      106.1808290
     200      16       9    1993      152.0000000      107.1485635
     201      17       9    1993      142.0000000      133.7841166
     202      18       9    1993      186.0000000      154.1953586
     203      19       9    1993      221.0000000      135.2774835
     204      20       9    1993      171.0000000      113.5223794
     205      21       9    1993      139.0000000       97.0145396
     206      22       9    1993      111.0000000       84.3063454
     207      23       9    1993      103.0000000       74.4851064
     208      24       9    1993       85.5000000       68.8752015
     209      25       9    1993       79.0000000      114.1375629
     210      26       9    1993      226.0000000      233.1148378
     211      27       9    1993      396.0000000      271.7534861
     212      28       9    1993      306.0000000      241.5760022
     213      29       9    1993      263.0000000      233.5249842
     214      30       9    1993      297.0000000      252.2593460
     215       1      10    1993      249.0000000      244.0183939
     216       2      10    1993      358.0000000      352.6695822
     217       3      10    1993      667.0000000      481.2784517
     218       4      10    1993      476.0000000      439.1719127
     219       5      10    1993      328.0000000      364.9775165
     220       6      10    1993      260.0000000      335.0894679
     221       7      10    1993      419.0000000      421.5699379
     222       8      10    1993      495.0000000      496.1121509
     223       9      10    1993      581.0000000      582.2794666
     224      10      10    1993      545.0000000      528.3531990
     225      11      10    1993      396.0000000      440.4074014
     226      12      10    1993      311.0000000      368.4547447
